name,status
FiveCubits,closed
Larotec,closed
Duck Duck Moose,closed
Arts & Analytics,operating
Learnerator,operating
Organic Pizza Kitchen,closed
WebStudiyo Productions,closed
Outitude,operating
Tesoro Enterprises,closed
trinket,closed
CarZen,operating
MyTelemedicine.com,operating
ORIC Pharmaceuticals,operating
Datasnap.io,operating
in2apps,operating
Warwick Analytical Software Limited,operating
VIP SOUL,operating
Distributed Energy Management,closed
Skyrider,operating
RouterShare,closed
Drone Aviation,operating
Fastly,operating
Physiostream,closed
MediaCore,closed
DooBop,operating
"Radio Revolution Network, LLC",operating
Delighted,closed
Oshiboree,closed
Secant Therapeutics,closed
YOHO,operating
PlayFirst,operating
Maguru.dk,closed
DoubleDutch,closed
Evergage,closed
AllTranz,operating
Global Analytics,closed
Beijing iChao Online Science and Technology,closed
Modenus Media,operating
IceCream,operating
Wave3Studio,operating
LaunchCenter 39,operating
SOV Therapeutics,operating
DogVacay,closed
DemandTec,operating
CanvasFilp,operating
Cyto Wave Technologies,operating
Charm City Food Tours,operating
Digital Health Outcomes,operating
VeriCenter,operating
Mangstor,operating
audibene,closed
Inventure Enterprises,operating
Gazillion Entertainment,closed
Coradiant,closed
Lifeables,closed
"Likeminder, Inc.",operating
Hobo Labs,closed
BlueAnatomy,closed
SBA Bank Loans,operating
BorderX Lab,operating
Banister Works,closed
Harri,operating
Phantom Fiber,operating
GraphAlchemist,operating
Arsenal Medical,operating
A&L Technology,operating
Jmdedu.com,operating
IntelinAir,closed
Zixi,operating
Dodonation,closed
Kotak Urja,closed
Ninsight Broadcast,operating
Morgan Daniels Training Ltd,closed
Jaeger,operating
BioMimetix Pharmaceutical,closed
BOATHOUSE ROW SPORTS,closed
Keiz Marshall Performing Arts Academy,operating
Mithridion,operating
Skyepack,closed
ArrowPoint Communications,operating
eTukTuk,closed
Wiral Internet Group,operating
RxData,closed
Zefanclub,closed
Synchronicity.co,closed
All in One Medical,operating
Trendy Butler,closed
Flipora,operating
TriState Capital,operating
Vuzix,closed
GetYou,closed
Undercover Colors,operating
Journeys,operating
SafetyTat,closed
Société Internationale de Plantations d'Hévéas,closed
aXess america,operating
Browsarity,closed
ArtBinder,operating
First V1sion,operating
Seesmic,closed
Irynsoft,operating
OneCubicle,closed
Emergent Payments,closed
Fair Winds Brewing,operating
Believe.in,closed
MegaHoot,operating
MedTel.com,operating
Farmainstant,closed
Bontact,closed
UeeeU.com,closed
OmniSky,closed
3Dmena,operating
iCatapult,operating
SquadLocker,operating
SameDay Security,closed
peerfit,closed
Toucan Global,operating
Eve,closed
ACTIV Financial Systems,operating
NORCAT,operating
ibabybox,operating
Algenetix,closed
eyetok,operating
Sapience Analytics Private Limited,operating
Red Mango,operating
Myndbee Inc.,operating
Matricore,operating
YUME kids wear,closed
Citydeal.de,closed
isaac10 GmbH,operating
IPLSHOP Brasil,operating
Cazoodle,closed
Reality Crowd TV Media Corporation,operating
Cityblis,operating
Keebitz,operating
"Workiva, Inc.",closed
MindEdge,operating
Wrike,closed
TUTORize,operating
People Interactive (India),operating
PSYLIN NEUROSCIENCES,closed
Aidhenscorner,closed
DoubleVerify,operating
Versium,operating
Achieve Financial Services,operating
Playbuzz,operating
FanTrail,closed
Implicit Monitoring Solutions,operating
US Toxicology,closed
Omnireliant,closed
Wiseryou,operating
Blueshift International Materials,operating
Arctic Island LLC,closed
Kapost,closed
GiveGab,operating
Antera Therapeutics,operating
MECLUB,operating
Koibanx,closed
Fluency,closed
WITS(MD),operating
Vimessa,operating
Solulink,operating
Tailor Made Oil,closed
Indochino,closed
Wallix,closed
Wivo,closed
Averna,operating
Overture Technologies,operating
Bluespec,operating
Boom Financial,closed
DerbySoft,closed
Matchmaker Videos,closed
Brandwatch,closed
OnSite Access,closed
DvineWave,operating
Kalibrr,operating
Helios Towers Africa,closed
SPF Solutions,closed
wezzoo,closed
Syndero,operating
Ardelyx,operating
Post-A-Vox,closed
One On One,operating
ACCESS Bill Pay Services,operating
MacroGenics,operating
Anthology Solutions,operating
EcoPort,operating
Training Intelligence,closed
NXTM,closed
Picofemto,operating
Bancha,closed
InfoReady,closed
Virtual Web,closed
Uklipz Social Media Inc,operating
Manflu,closed
Apani Networks,closed
United LED Corporation,closed
AirCell,operating
Adjacent Applications,operating
"MoveableCode, Inc.",closed
Aptean,operating
ClaraStream,closed
Myngle,closed
Plutio,closed
Hydro-Photon,operating
UsabilityTools,operating
American Discount Pharmacy Crop,operating
Testif,closed
Endorse,operating
Aniboom,closed
ES Holdings,operating
Frilp,operating
Ucha.se,closed
Immune Therapeutics,closed
eeden,closed
OneAccess,closed
Xumii,closed
Bamatea,closed
VIP Parking,closed
Ingeliance,closed
tripMD,operating
Iron Will Innovations,operating
TicketFire,closed
Afoundria,closed
Specialized Tech,closed
Lawnmower,operating
The Ahtlete's Business Network,operating
SBR Health,closed
Energy Harvesters LLC,operating
WetFeet,closed
Seneco,closed
TeleRetail Corporation,operating
dacadoo,operating
Money Forward,operating
Enertec Systems,closed
Accelerate Diagnostics,closed
ArcSoft,operating
E-Generator,operating
Power OLEDs,closed
Doctor At Work,operating
Active Life Scientific,closed
Moya Okruga,operating
EsLife,closed
Cordium,operating
ExTractApps,operating
SpotHero,operating
Blowhorn,operating
Loki Studios,closed
BrightSide Software,closed
GemShare,closed
Raynforest,operating
IBUonline,operating
VSware,closed
Ortopedio.pl,operating
Comic Wonder,closed
EXPO Communications,closed
JamLegend,closed
Brainlike,closed
Marginize,closed
ShoutEm,operating
Yardbarker Network,operating
Cloudintelligence,operating
Apprats,closed
NEURA Energy Systems,closed
Observe Design,operating
Food Quality Sensor International,closed
CTS Media,operating
payleven,operating
MyGrove Media,operating
BroadWare Technologies,closed
Line-Up,closed
Wish,operating
Quartix,operating
BragThis.com,closed
Yagomart,closed
Vylkira Games,operating
Cinnamon Social,closed
NexCura,operating
Kippt,operating
Advanced Marketing & Media Group,operating
Stellarray,closed
MainStreet Bank,operating
Personera,operating
Clio,closed
HowDo,operating
Mplife.com,operating
Roojoom,closed
Sideband Networks,operating
getupp,operating
TutorTap,closed
Intelligent Mobile Support,operating
Greendimes,closed
Medpike,operating
"Thoughtful Research, Inc.",operating
Modern Guild,operating
Furious Corp,operating
Telnext Communications,operating
Adelphic,closed
Montondo Trailer,operating
Wibbu,closed
YouChe.com,closed
Flexis,closed
Pique Therapeutics,operating
Circle Technology,operating
CARsgen Therapeutics,closed
CentrPort,closed
NoteWagon,closed
The Better Software Company,closed
PriceWaiter,closed
Atlantis Computing,closed
MyOptique Group,closed
Daintree Networks,operating
start A FIRE,closed
Green Earth Aerogel Technologies,closed
6connect,operating
BioScience,closed
JustFab,operating
MoneyLion,closed
Dot Medical,closed
Mondeca,operating
JH Network,closed
Blooom,operating
Greenline Industries,operating
Bonial International Group,operating
Going Green Today,operating
Adtile Technologies Inc.,closed
Petizens.com,closed
Socar,closed
RenovoRx,operating
Eka Systems,closed
ZOOT,closed
Certify Data Systems,closed
Urbita,operating
CopperGate Communications,operating
fishfishme,closed
Little,closed
Govini,operating
BidRazor,closed
Handy,operating
Vigme,operating
RootsRated,operating
DailyWorth,closed
CromoUp,closed
AgraQuest,closed
TrenStar,closed
Nanotech Semiconductor,operating
BlueTurtleBio Technologies,operating
UDR,operating
EDP Biotech,operating
Viirt,operating
Gotta'go Personal Care Device,closed
Hungrio,operating
Fiveworx,operating
Trapit,closed
Breadcrumbtracking,operating
How do you roll?,closed
Autonet Mobile,operating
Tourism4me,closed
Tobuy,operating
iHydrate,closed
Linkfluence,operating
Skyatlas,operating
Panda Security,operating
International Gaming League,operating
FreeAgent,closed
Mu Dynamics,closed
Gigfairy,operating
Datavail,operating
EverString,closed
NeuroBionics,operating
mVakil - Track Court Cases Live,closed
Monstar Lab,operating
BedyCasa,operating
Flow Traders,closed
Playhem,closed
CrowdRating,operating
Nusirt,operating
Cooper's Classics,operating
SelfDrvn Enterprise Pte Ltd,closed
Spock,closed
Get your job!,operating
Alpha (fitness),operating
Touristlink,closed
Simpirica Spine,closed
XPD Media,operating
Zoliro,operating
Bidu Corretora,closed
Cerapedics,operating
Andoayudando.com,operating
Ammado AG,closed
GameTube,closed
Diffusion Pharmaceuticals,closed
Netherin Enterprises,operating
BookDoc,closed
ViewCast,operating
SCONTO DIGITALE,closed
Vtrim,closed
Knowta,operating
Shopilist,operating
DameJidlo,operating
Captain Wise,operating
Novalys,closed
Top100.cn,operating
Petsy,closed
ICE Technologies,closed
Attender,closed
Greener Expressions,operating
Genuine People,operating
Spectral Edge,closed
Factual,closed
Rockbot,closed
MyPermissions,operating
Shopear,operating
Laiyaoyao,closed
L2C,closed
Organics Rx,closed
Theranostics Health,closed
ThinkSmart,closed
RegeneMed,closed
Tiger Pistol,operating
TheFamily,operating
MTPV,closed
Control4,operating
Surgery Center at Tanasbourne,closed
Tasteful,operating
B-Side Entertainment,closed
Energy Focus,closed
MoboFree,operating
InstantQ,closed
Genomic Vision,operating
Antelope Surgical Navigation,closed
SenseLabs (formerly Neurotopia),closed
Undertone,closed
Ozmosis,closed
Class Travel Pty Ltd,closed
LibriLoop,operating
CloudWork,operating
CEVEC Pharmaceuticals,closed
CDI Bioscience,closed
BriefCam,operating
SummuS Render,operating
ALUHEAT,closed
PresseTrends.com,closed
CloudAcademy,operating
Blue Triangle Technologies,closed
Vitalea Science,operating
Dailymotion,operating
Linkable Networks,closed
Raymedica,operating
Incluyeme.com,closed
Accendo Therapeutics,closed
"Yaga, Inc.",operating
BestSecret.com,operating
Outcomes for Children,operating
Pinger,closed
Shop pirate,operating
WellTek,closed
Hiveplay,operating
"hopOn, Inc.",closed
DVDPlay,operating
120 Sports,operating
Mr Banana,operating
CliniCast,closed
3sun,closed
VATBox,closed
Actionality,closed
Valencell,closed
Piku Media K.K.,operating
Squirro,closed
ProNewTech S.A.,closed
SuiteLinq,closed
DataGravity,closed
Advalight,operating
Ravenflow,closed
Avalon Solutions Group,closed
FRNZ labs,operating
Streamworks Products Group(SPG),operating
Worldzen Holdings,closed
Poetica,operating
PartyWithMe,operating
HiveLive,closed
Oldelft Ultrasound,closed
Resonant Sensors Inc.,operating
Pombai,operating
Health2Sync,closed
Eureka Therapeutics,operating
Cybronics,operating
Insureon,closed
Trusted Opinion,operating
Gemisimo,closed
Toutiao,closed
Genable Technologies Ltd.,closed
Eat Kid Friendly,closed
Indoorgo Navigation Systems ltd.,closed
Medyria,operating
Language Logistics,closed
Chemayi,operating
Tour Desk,closed
Survios,closed
"Ryan-O, Inc",operating
Plutus Software,closed
eSNF,closed
RegulatoryBinder,closed
EmployeeReferrals.com,operating
Sirion Therapeutics,closed
EstatesDirect.com,closed
Koru,operating
Onyvax,closed
I & Combine,operating
MarkMonitor,closed
AdsWizz,closed
Gaiacom Wireless Networks,closed
artaculous,operating
B-sm@rk,operating
Polygon Games,operating
Heavenly Foods,operating
C4Robo,operating
Limei Advertising,operating
CareerImp,operating
Brite Health,closed
Stor Networks,closed
Identification Solutions,operating
Dyme.co,closed
Unsocial,operating
Wovn,operating
RepUp,operating
MyCheck,closed
ConjuChem,operating
Aiming,operating
Zola,operating
Litigain,operating
Popularo,operating
Hit Streak Music,closed
Glaxstar,closed
Airsynergy,operating
LiB,closed
QBotix,operating
TenXc Wireless,closed
BlackStar Technologies,closed
Dauntless Pharmaceuticals,closed
The Optima,closed
Quadia Online Video,operating
SonarMed,closed
Crowd Fusion,operating
MotherKnows,operating
Primary Real Estate Solutions,closed
Shift Payments,closed
Aegis Oil,closed
Rhythm Networks,operating
DIY Shop,closed
Itaro,closed
BasicGov Systems,operating
Capital Match,closed
Source3,closed
Discoverly,closed
CorkSharing,operating
CureDM,operating
The Surgical Center,closed
BrabbleTV.com LLC,closed
NexGear,closed
Deminos,operating
Bright Willow,operating
Flypad,closed
SmartSynch,closed
Jottr,closed
RegainGo,closed
Akustica,operating
Orthocone,operating
SiliconStor,closed
Tripshare,closed
PhotoSecure,operating
PayDragon,operating
Pathogen Systems,operating
Vouchercloud,closed
Shizen Energy Inc.,operating
TapZilla,closed
AdWired,closed
Acendre,operating
Struq,operating
Pepscan,closed
One Africa Media,closed
EveryMove,operating
Australian American Mining Corporation,closed
Micro Tempus Inc.,operating
IQ Logic,closed
Zhijiang Jonway Automobile,closed
Pound Rockout Workout,operating
GreenOffOn,closed
nestpick,operating
Fantasy Feud,closed
Beijing Infinite World,operating
Adstrix,closed
Carbon Salon,closed
Body Labs,operating
Citizens Rx,closed
Corventis,operating
Ornicept,closed
Global Yodel,closed
Music Kickup,closed
c6 Software Corporation,operating
Masteriya,closed
Better Schools Project,closed
eTool.io,operating
Prozo.com,closed
Mpex Pharmaceuticals,operating
HeadSense Medical,closed
Chatty,operating
Vendobots,closed
EasyTek,operating
Edison Nation,closed
Solidagex,operating
Nexosis,closed
Concerto Healthcare,closed
Pando Networks,operating
Salix Pharmaceuticals,operating
Teddy The Guardian,closed
Tasted Menu,operating
Trov,closed
MobilyTrip,operating
Snapbridge Software,operating
CleveX,operating
"Solebrity, Inc.",operating
Socotra,closed
Baxi,closed
Zambah,operating
Knomad,operating
"Lend Street Financial, Inc.",closed
Zepteon,closed
MyFitnessPal,closed
ExtremeOcean Innovation,closed
Everyone Counts,operating
Xerographic Document Solutions,operating
Anchor Fabrication,closed
AppsFunder,closed
PHYSICIANS IMMEDIATE CARE,operating
SoftGenetics,operating
World Surveillance Group,operating
makr,operating
Agrostar,closed
ActiveSec,closed
Actus Digital,operating
Benesight,operating
Global Online Devices,closed
Perez Forensic Strategies,closed
CareDox,operating
Attunity,closed
LinkCloud,operating
Greenling,closed
Winnin,closed
Simplificare,closed
Emay Softcom,closed
IASIS Healthcare,operating
"Icagen, Inc.",operating
Stylight,closed
Rakuten,operating
Community Leader,operating
ThreatTrack Security,operating
Unowhy,operating
Jigsaw Meeting,closed
Desert Industrial X-Ray,operating
FASTNET,operating
Gordian Surgical,closed
geoLOGIC,operating
Analyte Logic,closed
Kinems Learning Games,closed
IdenIve,operating
Philoptima,operating
Volance,closed
Avidbank Holdings,closed
Travel Desiya,closed
Recommendo,operating
Centrix Software,closed
The Nature Conservancy,operating
Ektitaby,closed
Jordan Valley Semiconductors,closed
Optichron,operating
SMITH (formerly Ascentium),operating
NEXT Co,closed
AbsolutData,closed
Sixth Domain,closed
Eridan Technology,operating
Mogi,closed
Grab Media,operating
Skribit,operating
EgTran,closed
Entropic,closed
Grid20/20,closed
Voyence,closed
Xompass,operating
OurOldGroup,closed
Vir-Sec,closed
Glowpoint,closed
MicroPower Global,closed
Mask.it,operating
SafeShot Technologies,operating
Kollabora,closed
Mlog,closed
BullseyeEngagement,operating
Outsource Partners International,closed
Mobile Patrol,operating
Arkivum,operating
Voy al Doc,operating
Ambow Education,closed
Life On Air,operating
"Xylo, Inc",operating
Nexamp,closed
ClubKviar,operating
Elderscan,closed
PathCentral,closed
Sovi,operating
Spry Hive Industries,closed
Hello Heart,operating
Backupify,closed
sulekha.com,operating
Attainia,closed
Pomello,operating
Flirq,closed
FuelFilm,operating
RedSeguro,closed
Hampoo Science & Technology,operating
MBDC Media,closed
Spinback,operating
Zazoom Media Group,closed
CompuPay,closed
Taquilla,operating
PulmOne,operating
Apostrophe Apps,operating
Live Life 360,closed
Abukai,operating
Hospitality Leaders,closed
Slide,operating
E-Mist Innovations,operating
HelloDisplay,operating
NanoPack,operating
Rhone Apparel,closed
kompany,operating
PDV,operating
"nextSociety, Inc.",closed
Foxy's Pash Frozen Yogurt,operating
DiscoveryBioMed,closed
Gesto Saúde e Tecnologia,closed
Onramp BioInformatics,closed
Ferris,operating
Smallbusiness.com,operating
Axine Water Technologies,operating
Mitrionics,closed
Urban Owl Eyewear,operating
ROLI,closed
Mister Mario,operating
Intouch,closed
StatAce,closed
Wecash,operating
Neven Vision,operating
Enterprise Productivity Software (EPS) Corp.,operating
9+ Program,closed
SeatWish,operating
NationWide Primary Healthcare Services,closed
Sportboom,closed
Yuenimei,operating
Customizer Storage Solutions,closed
MyFrontSteps,operating
Toma Biosciences,operating
Cardiac Pathways Corp,closed
Imaxio,operating
Higher Learning Technologies(HLT),closed
Main Street Genome,operating
I AM AT,operating
Viscose Closures,operating
Calm.io,operating
YottaMark,closed
Senor Sirloin,operating
Vertical Wind Energy,operating
Celebrations.com,closed
Kolorific,operating
SponDoolies-Tech,operating
MediaSite,closed
Gate2Play,operating
Over60,closed
SterraClimb,operating
Legimi,operating
Silent Communication,closed
Linko Inc.,operating
BRANDiD - Shop. Like a Man.,closed
kidthing,operating
Expensify,closed
GymHit,closed
ClearCube,operating
Parrot,closed
Gigalocal,closed
Communify Health,operating
AeroScout,operating
Fortinet,operating
Advanced Search Laboratories,closed
SeeClickFix,closed
American Oil Solutions,operating
Potentia Power Systems,operating
viseto,operating
Medical Reimbursements of America,operating
traceMyWay,closed
SEE Forge,closed
Buzzwire,closed
EyeCyte,closed
MRPEasy,operating
Melodigram,operating
Panacela Labs,operating
CleanApp,operating
Digium,operating
Pinnacle Transplant Technologies,closed
Globe Wireless,operating
Kura MD,closed
Emair,closed
Webpgr,operating
Tingbot,operating
Mingly,closed
Bank of Georgetown,operating
Keex,operating
Keyi Technology,operating
Winster,operating
AZTherapies,closed
Respondly,closed
Mswipe Technologies,closed
Gameyola,operating
ShopFully,operating
CircuitLab,closed
Total Attorneys,closed
Silo Labs,operating
LatinCoin,operating
Recomio,operating
Brainspace Corporation,operating
Qvella Corporation,closed
Intersoft Eurasia,operating
Swidjit,closed
Kimerick Technologies,closed
Weiboagent,closed
Melty,operating
EduVision Retail Technologies (Fastudent),operating
Snapsort,operating
Pendix GmbH,closed
MocoSpace,closed
Hivebeat,closed
Aternity,closed
Pansieve,closed
WeLink,closed
Firecomms,operating
Interface Masters,operating
JagTag,operating
Wokup,operating
Kidoodle,operating
Wuhan Kindstar Diagnostics,closed
Wizpert,operating
TipCity,operating
Spoke,closed
Realty 398,operating
General Assembly,operating
AirVM,operating
Orthogem,operating
Vital Energi,operating
OpenX,closed
Mine Shaft Brewing,closed
Sprout Pharmaceuticals,operating
HistoWiz,operating
Stentys,closed
San Marcos Springs,operating
Power Mech Projects,closed
Energryn,operating
New Ed Inc,operating
ChargeSpot,operating
MEDeCOACH,closed
Impact Engine,closed
PERORA,operating
b spot,closed
Snoball,closed
SolvAxis,closed
VBOX,operating
TiVUS,closed
Kaeuferportal,operating
Beestar,closed
Mango,operating
Webjam,operating
mmCHANNEL,operating
CrossFirst Bank,closed
BioLeap,closed
Barunsoft,operating
Nova Ideas,closed
Xelerated,closed
BioRegenerative Sciences,operating
California Arts Council,operating
Pipeline Biomedical Holdings,operating
GigMasters,closed
Flix Innovations Ltd,operating
IPV,operating
Bill's Transport,operating
Princeton eCom,operating
Active Endpoints,operating
Springfield Healthcare,closed
TrueLens,operating
Mobile Medical Testing,operating
"Field Agent, Inc.",operating
Alkymos,operating
ClickGanic,operating
Nugg-it,closed
Experenti,operating
DepoMed,operating
InstallShield Software Corporation,operating
Mr Po Media,operating
Zero Emission Energy Plants (ZEEP),operating
dcBLOX Inc.,closed
G3,operating
Energatix Studio,operating
Breezeworks,closed
Parchment,operating
Mercaris,operating
Fraud Sciences,closed
Seamless Medical Systems,operating
R&D Altanova,operating
IR Media Ventures,operating
Content Ramen,operating
OFACS LLC,operating
La Miu,closed
Decru,operating
Plethora Technology,closed
Innoz,closed
Instapio,closed
Meal In A Jar,closed
Stringify,closed
Isis Parenting,operating
Flux Factory,operating
Apartment Adda,operating
Pheed,operating
Nabsys,operating
Dragonfly List,operating
Geoforce,closed
365Scores,closed
ThinkSuit,closed
Azelon Pharmaceuticals,operating
Traffline,closed
VFA,closed
Lixto Software,operating
Lighter Living,operating
GeneWEAVE,operating
20Dresses,closed
PickUpPal,closed
payworks,closed
K-PAX Pharmaceuticals,operating
Laboratoire M2,closed
Urban Planet Media & Entertainment,operating
iHealthNetworks,operating
Dialoggy,operating
CommutePays,closed
kurv,operating
Greencloud Technologies,closed
Ember Therapeutics,closed
Sagoon,closed
Proximus,operating
Viewabill,operating
Kiwi Crate,operating
Betfair,operating
Boost My Ads,closed
Hyperloop Data,operating
Cartnav,closed
Moov cc.,closed
TNI medical,closed
foosye™,operating
Sight Machine,operating
Senior Cottage,closed
Camino Financial,operating
Ayla,operating
Gecko Health Innovations Inc. (formerly GeckoCap),closed
Popular Pays,closed
TheStylisted,operating
WholeWorldBand,operating
LightPointe,operating
PriceMatch,closed
EnOcean,operating
KUN RUN Biotechnology,closed
Check4cancer Ltd,operating
ServiceFrame,closed
PrimeRevenue,operating
Modebo,operating
Hunner Retail India Private Limited,operating
ClickMechanic,closed
ToneDen,closed
Emitless,operating
Taembe.com,operating
ThisNext,operating
DFKI,operating
Agorize,operating
RobArt,operating
Member Benefits,closed
Everseat,operating
RightNow Technologies,closed
Cubikal,operating
Gracelock Industries,operating
Wonder Forge,operating
MedSynergies,closed
NeoAccel,closed
Access Integrated Healthcare,closed
Jiffi,operating
Ebookpie,operating
WindGen Power Products,operating
Biodico,operating
Orbeus,closed
Eventap,operating
Piggydreams,closed
Qwire Holdings,closed
Social Touch,closed
Motiga,closed
FILLD,operating
Barkibu,operating
AdGent Digital,operating
AnyMeeting,closed
Amba Defence,operating
WorldCover,closed
Doctor.com,operating
Atlas Powered,closed
roomlinx,operating
Responsys,closed
Restlet,operating
BizGround,operating
Sporting Mouth,operating
First Rate Medical Transportation,operating
Rezzcard,operating
Giiv,operating
Renrendai,closed
Limejump,operating
Shop Airlines,closed
GetQd,operating
Baitianshi,operating
Traveling Spoon,operating
Somewhere,closed
